en;ru
0;
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
15;
17;
18;
25;
26;
27;
28;
29;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;
40;
41;
42;
43;
44;
45;
46;
47;
48;
50;
51;
52;
53;
54;
55;
56;
57;
58;
59;
60;
61;
62;
64;
68;
70;
72;
76;
80;
84;
85;
88;
90;
92;
94;
95;
98;
100;
102;
104;
105;
106;
110;
115;
116;
122;
125;
128;
134;
135;
140;
145;
146;
152;
155;
158;
164;
170;
176;
125 cm;
135 cm;
145 cm;
155 cm;
165 cm;
115 cm;
175 cm;
130 cm;
140 cm;
160 cm;
170 cm;
85 cm;
95 cm;
105 cm;
90 cm;
100 cm;
110 cm;
75 cm;
xs;
s;
m;
l;
xl;
l/xl;
s/m;
s (bis 125 cm);
m (135/140 cm);
l (145/155 cm);
xl (ab 165 cm);
l (ab 135 cm);
pony (ca. 120 cm);
wb (ca. 140 cm);
pony;
wb;
warmblut;
m (135/145 cm);
xl (155/165 cm);
vb/wb;
s (ca. 125 cm);
m (ca. 135 cm);
xl (ca. 155-165 cm);
pony - vb;
wb - xwb;
150 x 200 cm;
120 cm;
s (110 - 125 cm);
vb;
xxs;
80 cm;
shetty;
x-wb;
mini-shetty;
kb;
kaltblut;
schweres kaltblut;
vollblut;
x-warmblut;
fohlen;
s (pony);
m (vollblut);
l (warmblut);
xl (großes warmblut);
1 (ca. 33 - 39 cm);
2 (ca. 37 - 43 cm);
3 (ca. 41 - 46 cm);
small;
medi/large;
cob;
pon;
i (30cm x 68cm);
ii (40cm x 68cm);
iii (45cm x 68cm);
full;
x-full;
50x40cm;
40x30cm;
xxl;
kb-xxl;
kb-xl;
m2;
m3;
s (0-1);
m (2-3);
l (4-6);
sg3;
sg4;
sg5;
sg6;
sg7;
sg8;
sg3-4;
sg5-6;
sg7-8;
sg3-5;
sg6-8;
sg6-l;
sg7-l;
sg5-l;
sg4-l;
sg8-l;
sg3-l;
"wb (3;5 m x 11;5 cm)";
wb (3 m x 11 cm);
"pony (2;9 m x 8;5 cm)";
"pony(2;9 m x 8;5 cm)";
"warmblut (3;5 m)";
"wb (3;5m x 11;5cm)";
wb (3 m x 10 cm);
"pony (2;8 m)";
wb (2 m x 10 cm);
"wb (3;5 m x 10;5 cm)";
"2;25 m (gedehnt)";
"wb (3;2 m x 10 cm)";
pony (ca. 2 m x 9 cm);
"wb (3;0 m x 11;0 cm)";
"wb (3;5 m x 11 cm)";
ca. 25cm x 35cm;
ca. 30cm x 45cm;
ca. 45m x 45cm;
ca. 45cm x 45cm;
40 cm x 30 cm;
50 cm x 35 cm;
30 cm x 35 cm;
38 cm x 40 cm;
45 cm x 45 cm;
35x45cm;
pony groß;
pony klein;
40 cm x 35 cm;
ca. 40cm x 35cm;
"17;5";
"16;5 zoll";
17 zoll;
