en;ru
deep forest;зеленый
deep infinity;бежевый
deep ocean;глубокий океан
deep plum;сливовый
deep taupe;темно-бежевый
deep teal;голубой
deepblue/darkblue;синий
deepforest;зеленый
deeptaupe;бежевый
delphinium/blue & navy;голубой
denim blue;синий
denim midblue;синий
denim;синий
denim/darkblue;синий
denim/lime;синий
denimblue/brickred;синий
distressed brown;коричневый
dress blue;синий
dress blues;синий
driftwood brown;коричневый
dunkel;темный
dunkelblau;темно-синий
dunkelbraun;темно-коричневый
dunkelgruen;темно-зеленый
dusty orchid;орхидея
earth;зеленый
ebony;коричнеый
eggshell blue/silver sconce;синий
eisblau;голубой
elb;желтый
en,ru;англ/рус
english rose;розовый
ensign blue;синий
eorgia peach;персиковый
espresso melange;кофе
espresso/sapphire;кофе
excalibur reen;зеленый
excalibur/orange;серебро
excalibur/plum & silver;серебро/сливовый
excalibur/plum & white/silver;серебро/сливовый
excalibur/strongblue & black;серебро/синий
faience;голубой
feige / navy & tan;синий
feige/feige;фиолетовый
feige/navy & tan;фиолетовый/синий
fiery red;красный
flame scarlet;красный
flamered/muscat;красный
flamingo;розовый
flax;бежевый
flieder;лавандовый
flint stone;голубой
floral;цветы
florance check;цветы
flower;цветы
flowers;цветы
forest reen;зеленый
forestgreen;зеленый
french blue;синий
frenchblue;синий
fuchsia;фуксия
fusion coral;кораловый
haselnuss;коричневый
havanna;гавана
havanna/edelstahl;гавана
havanna/messing;гавана
havanna/silber;гавана
hazel;зеленый
hazelnut/creme/choco;кремовый/коричневый
heather brown;коричневый
heather rey;голубой
hellblau;синий
hellblau/blau;синий
hellblau/marine;синий
hellblau/marine/creme;синий
hellbraun;коричневый
hellbraun/navy rau;коричневый
hellflieder;голубой
hellgrau melange;серый
hellgrau;серый
hellgrau/orange/rot;серый
hellgruen;зеленый
hexagon;шестиугольник
hibiscus;гибискус
himmelblau;небесный
horse/black;черный
hot cherry;красный
hot pink;розовый
hot-pink;розовый
ice blue;голубой
ice reen;лед
ice/white/mousegrey;белый/серый
iceblue;голубой
iceblue/navy;голубой
indigo/multicolor;индиго
indigoblau;индиго
insignia blue;синий
iron ate;серый
iron;серый
iron/mint;серый
island reen;зеленый
island;зеленый
java;ява
jeans;джинс
jeansblau;голубой
kaffee;кофе
kastanie;каштан
khaki;хаки
kirschrot;красный
kiwi reen;киви
koala rey;серый
koenigsblau;синий
koralle rau;коралловый
latigo;голубой
laurel reen;зеленый
laylow red;красный
leo;лео
lichtblau;голубой
light blue;голубой
light olive;оливковый
light rey melange;серый
light rey;серый
lightblue;голубой
lightbrown;коричневый
lighter pine;светло-серый
lightgrey melange;светло-серый
lightgrey;светло-серый
lightpeach;персиковый
lila;фиолетовый
lila/lachs ruen;фиолетовый
lila/pink/blau;фиолетовый/розовый
lila/schwarz;фиолетовый/черный
lila/silber;фиолетовый
lilac;фиолетовый
lime oldfarbene biese;лайм
lime;лайм
lime/silber;лайм
limegreen;лайм
linnen;бежевый
lipstick;красный
litzerpink;розовый
lyonsblue;голубой
magenta;фуксия
magenta/pink;фуксия
majolica blue/pagoda blue/silver;синий/серебро
majolica;голубой
mango;манго
marine elb;синий
marine;синий
